place_name,total_reviews,avg_rating,category,address
Qualitas SV Care Clinic Cyberjaya 24 Hours,929,4.57,Medical clinic,"No 2-G, Nadayu Square, Persiaran Bestari, 63000 Cyberjaya, Selangor"
"Klinik Utama 24 Jam Cyberjaya (Nadayu,Tamarind Square)",904,4.8,Medical clinic,"NO. 8G & 9G, Klinik Utama 24 Jam Cyberjaya (Nadayu,Tamarind Square), NADAYU SQUARE, NADAYU 99, Cyber 9, 63000 Cyberjaya, Selangor"
Iswanah Acupuncture Bangi,450,4.82,Acupuncture clinic,"3B, Iswanah Acupuncture Bangi, E-G-5, JALAN BG 3B/1, Bangi Gateway, SECTION 15, 43650 Bandar Baru Bangi, Selangor"
Klinik Utama Cyberjaya (24 Hour),389,4.68,Medical clinic,"14-G BLOCK C, NEO CYBER, Lingkaran Cyber Point Barat, Cyber 12, 63000 Cyberjaya, Selangor"
Klinik Aviesina Mediora 24 Jam Cyberjaya | Antenatal Scan | Weight Management| Doktor Wanita,365,4.93,Medical clinic,"D1-G-05, Atelier Centre, Jalan Atelier 1, Edusphere Cyber 11, 63000 Cyberjaya Selangor Edusphere, Cyberjaya, 63000 Cyberjaya, Selangor"
Poliklinik Cahaya Medik,258,4.98,Medical clinic,"F-01 , Jalan GC 3 , GLOMAC, Cyberjaya, 63000 Cyberjaya, Selangor"
CARECLINICS CYBERJAYA,193,4.5,Walk-in clinic,"5-G, Block B, Biz Avenue 1, Neocyber, Lingkaran Cyber Point Barat, 63000 Cyberjaya, Selangor"
Orion Clinic,181,4.81,Medical clinic,"A-1-3, Tamarind Square, Persiaran Multimedia, 63000 Cyberjaya"
Klinik Pergigian The Tamarin Dental Co. Cyberjaya,164,4.76,Dental clinic,"C-01-07 Tamarind Square, Persiaran Multimedia, 63000 Cyberjaya, Selangor"
Klinik Ibnu Sina,122,2.74,Medical clinic,"22G, Lingkaran Cyber Point Barat, Cyberjaya, 63000 Cyberjaya, Selangor"
KinderCare Child Specialist Clinic / Klinik Pakar Kanak-kanak,110,4.99,Pediatrician,"6-0, Jalan Putra Mahkota 7/7a, Putra Heights, 47650 Subang Jaya, Selangor"
Marissa Mediclinic Cyberjaya,95,4.92,Medical clinic,"D-G-07 BLOCK D (TINGKAT BAWAH) JALAN TEKNOKRAT 6, CYBERSQUARE, Cyber 5, 63000 Cyberjaya, Selangor"
Klinik Dr Ko Cyberjaya,94,4.6,Specialist Clinic,"Unit 4812-0-52, Blok, Klinik Dr Ko Cyberjaya, 4812, Jln Perdana, CBD Perdana 2, 63000 Cyberjaya, Selangor"
Klinik Familink,94,4.15,Medical clinic,"A-G-02 Block A Jalan Teknokrat 6 Cybersquare, Cyber 5, 63000 Cyberjaya, Selangor"
Aidason Clinic (formerly known as Alexa Clinic),86,4.97,Medical clinic,"C1-G-8 BLOCK C1, Aidason Clinic (formerly known as Alexa Clinic), CBD PERDANA 3, Lingkaran Cyber Point Timur, Cyber 12, 63000 Cyberjaya, Selangor"
Klinik Alam Medic - Cyberjaya,75,4.44,Medical clinic,"No. 3, block A, Glomac, Jalan GC 1, Cyberjaya, 63000 Cyberjaya, Selangor"
Klinik DRS Young Newton & Rakan-Rakan,71,4.94,Walk-in clinic,"4801-0-01, Jalan Perdana, Off, Persiaran Flora, CBD Perdana, 63000 Cyberjaya, Selangor"
KLINIK CYBERJAYA (Tamarind Square),70,4.47,Medical clinic,"C-01-02, Tamarind Square, Persiaran Multimedia, Cyber 10, 63000 Cyberjaya, Selangor"
SV Care Ambulance,59,4.95,Ambulance service,"No 2-G-A, SV Care Ambulance, Nadayu Square, Persiaran Bestari, Cyberjaya, 63000 Cyberjaya, Selangor"
KLINIK KHALIFAH CYBERJAYA,52,4.83,Walk-in clinic,"LOT G-2, KLINIK KHALIFAH CYBERJAYA, KONDOMINIUM KANVAS, Cyberjaya, 63000 Cyberjaya, Selangor"
Mcare Clinic Cyberjaya (Mcare 诊所 ),46,5.0,Medical clinic,"01-12, Mcare Clinic Cyberjaya (Mcare 诊所 ), Kenwingston Business Centre, Kenwingston Square Garden, Persiaran Bestari, Cyber 9, 63000 Cyberjaya, Selangor"
KLINIK DR. LEEYA CYBERJAYA,40,4.78,Medical clinic,"UNIT 01-09 LEVEL 01, KLINIK DR. LEEYA CYBERJAYA, KENWINGSTON BUSINESS CENTRE, Persiaran Bestari, Cyber 9, 63000 Cyberjaya, Selangor"
RR Clinic,30,5.0,Medical clinic,"C-03-03 Blok C, RR Clinic, Tamarind Square, Cyberjaya, 63000 Cyberjaya, Selangor"
Klinik Dr Ezra Cyberjaya,27,4.96,Women's health clinic,"4809-0-35, Klinik Dr Ezra Cyberjaya, CBD 2, Jln Perdana, Cyber 12, 63000 Cyberjaya, Selangor"
Avisena Specialist Clinic Cyberjaya,18,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor"
