place_name,total_reviews,positive_pct,neutral_pct,negative_pct,avg_sentiment_score,avg_review_rating
KinderCare Child Specialist Clinic / Klinik Pakar Kanak-kanak,110,95.45,4.55,0.0,0.8,4.99
Klinik Dr Ko Cyberjaya,93,91.4,4.3,4.3,0.76,4.6
Mcare Clinic Cyberjaya (Mcare 诊所 ),46,91.3,8.7,0.0,0.71,5.0
Poliklinik Cahaya Medik,256,91.02,7.81,1.17,0.71,4.98
SV Care Ambulance,59,89.83,10.17,0.0,0.65,4.95
Klinik Pergigian The Tamarin Dental Co. Cyberjaya,164,89.02,7.32,3.66,0.7,4.76
Klinik Dr Ezra Cyberjaya,27,88.89,11.11,0.0,0.71,4.96
Avisena Specialist Clinic Cyberjaya,18,88.89,11.11,0.0,0.67,5.0
Klinik DRS Young Newton & Rakan-Rakan,71,88.73,9.86,1.41,0.66,4.94
Qualitas SV Care Clinic Cyberjaya 24 Hours,925,88.22,5.73,6.05,0.66,4.57
KLINIK CYBERJAYA (Tamarind Square),70,84.29,8.57,7.14,0.72,4.47
Klinik Aviesina Mediora 24 Jam Cyberjaya | Antenatal Scan | Weight Management| Doktor Wanita,364,84.07,15.11,0.82,0.58,4.93
Orion Clinic,181,83.98,11.6,4.42,0.65,4.81
Aidason Clinic (formerly known as Alexa Clinic),86,81.4,18.6,0.0,0.54,4.97
KLINIK DR. LEEYA CYBERJAYA,40,80.0,17.5,2.5,0.67,4.78
Klinik Familink,94,79.79,8.51,11.7,0.65,4.15
KLINIK KHALIFAH CYBERJAYA,52,78.85,17.31,3.85,0.58,4.83
CARECLINICS CYBERJAYA,191,77.49,15.71,6.81,0.6,4.49
Klinik Alam Medic - Cyberjaya,75,76.0,9.33,14.67,0.62,4.44
"Klinik Utama 24 Jam Cyberjaya (Nadayu,Tamarind Square)",899,75.42,22.25,2.34,0.5,4.8
Marissa Mediclinic Cyberjaya,94,72.34,26.6,1.06,0.48,4.91
Klinik Utama Cyberjaya (24 Hour),387,71.06,21.96,6.98,0.52,4.67
RR Clinic,29,58.62,41.38,0.0,0.44,5.0
Klinik Ibnu Sina,121,52.89,16.53,30.58,0.49,2.73
Iswanah Acupuncture Bangi,447,45.19,50.11,4.7,0.31,4.82
